赤湾,1260011000
蛇口港,1260012000
海上世界,1260013000
水湾,1260014000
东角头,1260015000
湾厦,1260016000
海月,1260017000
登良,1260018000
后海,1260019000
科苑,1260020000
红树湾,1260021000
侨城北,1260023000
深康,1260024000
安托山,1260025000
侨香,1260026000
香蜜,1260027000
香梅北,1260028000
景田,1260029000
莲花西,1260030000
岗厦北,1260033000
华强北,1260034000
燕南,1260035000
湖贝,1260037000
新秀,1260039000
益田,1261003000
石厦,1261004000
福田,1261006000
莲花村,1261008000
华新,1261009000
通新岭,1261010000
红岭,1261011000
晒布,1261013000
翠竹,1261014000
田贝,1261015000
水贝,1261016000
草埔,1261017000
布吉,1261018000
木棉湾,1261019000
大芬,1261020000
丹竹头,1261021000
六约,1261022000
塘坑,1261023000
横岗,1261024000
永湖,1261025000
荷坳,1261026000
大运,1261027000
爱联,1261028000
吉祥,1261029000
龙城广场,1261030000
南联,1261031000
双龙,1261032000
清湖,1262011000
龙华,1262012000
龙胜,1262013000
上塘,1262014000
红山,1262015000
深圳北站,1262016000
白石龙,1262017000
民乐,1262018000
上梅林,1262019000
莲花北,1262020000
临海,1263012000
宝华,1263013000
翻身,1263015000
灵芝,1263016000
洪浪北,1263017000
兴东,1263018000
留仙洞,1263019000
西丽,1263020000
大学城,1263021000
塘朗,1263022000
长岭陂,1263023000
民治,1263025000
五和,1263026000
坂田,1263027000
杨美,1263028000
上水径,1263029000
下水径,1263030000
长龙,1263031000
百鸽笼,1263033000
布心,1263034000
太安,1263035000
怡景,1263036000
黄贝岭,1263037000
罗湖,1268001000
国贸,1268002000
老街,1268003000
大剧院,1268004000
科学馆,1268005000
华强路,1268006000
岗厦,1268007000
会展中心,1268008000
购物公园,1268009000
香蜜湖,1268011000
车公庙,1268012000
竹子林,1268013000
侨城东,1268014000
华侨城,1268015000
世界之窗,1268016000
福田口岸,1268017000
福民,1268018000
市民中心,1268019000
少年宫,1268021000
白石洲,1268022000
高新园,1268023000
深大,1268024000
桃园,1268025000
大新,1268026000
鲤鱼门,1268027000
前海湾,1268028000
新安,1268029000
宝安中心,1268030000
宝体,1268031000
坪洲,1268032000
西乡,1268033000
固戍,1268034000
后瑞,1268035000
机场东,1268036000
红树湾南,1241013000
南山,1241015000
宝安,1241017000
碧海湾,1241018000
机场,1241019000
机场北,1241020000
福永,1241021000
桥头,1241022000
塘尾,1241023000
马安山,1241024000
沙井,1241025000
后亭,1241026000
松岗,1241027000
碧头,1241028000
西丽湖,1265011000
茶光,1265013000
珠光,1265014000
龙井,1265015000
桃源村,1265016000
深云,1265017000
农林,1265019000
上沙,1265021000
沙尾,1265022000
皇岗村,1265024000
皇岗口岸,1265026000
福邻,1265027000
赤尾,1265028000
华强南,1265029000
黄木岗,1265032000
八卦岭,1265033000
红岭北,1267025000
笋岗,1265035000
洪湖,1265036000
深湾,1267012000
深圳湾公园,1267013000
下沙,1267014000
香梅,1267016000
梅景,1267018000
下梅林,1267019000
梅村,1267020000
孖岭,1267022000
银湖,1267023000
泥岗,1267024000
园岭,1267026000
红岭南,1267028000
鹿丹村,1267029000
人民南,1267030000
向西村,1267031000
文锦,1267032000
